iter	Passed	Remaining
455	973	1161
456	975	1158
457	976	1156
458	978	1153
459	980	1150
460	981	1147
461	982	1144
462	984	1141
463	986	1139
464	988	1137
465	990	1134
466	991	1131
467	992	1128
468	994	1125
469	995	1122
470	996	1119
471	997	1116
472	999	1114
473	1001	1111
474	1003	1108
475	1004	1105
476	1005	1102
477	1007	1099
478	1008	1096
479	1010	1094
480	1011	1091
481	1012	1088
482	1014	1086
483	1016	1083
484	1017	1080
485	1019	1077
486	1020	1075
487	1021	1072
488	1023	1069
489	1024	1066
490	1026	1063
491	1027	1061
492	1029	1059
493	1031	1056
494	1032	1053
495	1034	1051
496	1036	1049
497	1039	1047
498	1042	1046
499	1044	1044
500	1046	1042
501	1048	1040
502	1050	1038
503	1052	1036
504	1054	1034
505	1057	1032
506	1062	1032
507	1064	1030
508	1066	1029
509	1069	1027
510	1074	1028
511	1078	1028
512	1088	1033
513	1092	1032
514	1095	1031
515	1096	1028
516	1100	1028
517	1102	1025
518	1104	1023
519	1105	1020
520	1107	1018
521	1109	1015
522	1113	1015
523	1115	1013
524	1117	1011
525	1119	1008
526	1120	1006
527	1122	1003
528	1124	1000
529	1126	998
530	1128	996
531	1129	993
532	1131	991
533	1132	988
534	1134	986
535	1136	983
536	1137	981
537	1139	978
538	1141	976
539	1144	974
540	1145	971
541	1146	969
542	1148	966
543	1149	963
544	1151	960
545	1152	958
546	1154	956
547	1156	954
548	1158	951
549	1160	949
550	1161	946
551	1163	943
552	1164	941
553	1165	938
554	1167	935
555	1169	933
556	1171	931
557	1173	929
558	1174	926
559	1176	924
560	1177	921
561	1179	919
562	1180	916
563	1183	914
564	1185	912
565	1187	910
566	1188	907
567	1190	905
568	1192	902
569	1193	900
570	1194	897
571	1196	895
572	1198	893
573	1200	890
574	1201	888
575	1203	885
576	1204	883
577	1205	880
578	1207	877
579	1208	875
580	1210	872
581	1212	870
582	1214	868
583	1215	866
584	1217	864
585	1219	861
586	1220	859
587	1222	856
588	1225	855
589	1228	853
590	1230	851
591	1232	849
592	1234	847
593	1236	845
594	1241	845
595	1244	843
596	1246	841
597	1248	839
598	1250	837
599	1252	835
600	1256	833
601	1263	835
602	1266	833
603	1273	834
604	1276	833
605	1279	831
606	1288	834
607	1295	835
608	1301	835
609	1303	833
610	1306	831
611	1309	830
612	1316	830
